id,author_sort,title,isbn,identifiers,series,series_index,uuid
"515","Markham, Beryl","West With the Night","9781453237915","amazon:8087830601,google:LtzdJWWVOSQC,goodreads:15815304,isbn:9781453237915","","1.0","1a235e33-74bf-438e-a295-6799871c2444"
"516","Murakami, Haruki & Rubin, Jay","The Wind-Up Bird Chronicle","9780307762702","google:A_mQPAqfte8C,isbn:9780307762702,amazon:0679775439,goodreads:8829494","ねじまき鳥クロニクル","1.0","badb0237-4c8b-4d1c-833e-ddfbaf2fbe05"
"517","Schlosser, Eric","Command and Control: Nuclear Weapons, the Damascus Accident, and the Illusion of Safety","9780143125785","barnesnoble:w/command-and-control-eric-schlosser/1115624496,isbn:9780143125785,amazon:1594202389,google:lJ6JDQAAQBAJ,goodreads:6452798","","1.0","832946c5-91c7-4363-8d6d-47e7883ae044"
"519","Kushner, David","Masters of Doom","9781588362896","isbn:9781588362896,barnesnoble:w/masters-of-doom-david-kushner/1100393278,goodreads:7748687,google:ltQ6LYHpmQEC","","1.0","c8a6662b-5172-483d-88fd-9ef2a6f8c928"
"520","Guin, Ursula K. le","The Dispossessed","9780061054884","goodreads:13651,isbn:9780061054884,google:tlhFtmTixvwC,amazon:0061054887,barnesnoble:w/dispossessed-ursula-k-le-guin/1100615948","Hainish Cycle","5.0","cb659841-7bd2-45ac-89b9-2ab02c3e3ba7"
"524","Catmull, Ed","Creativity, Inc.: Overcoming the Unseen Forces That Stand in the Way of True Inspiration","9780679644507","amazon:B00GUOEMA4,isbn:9780679644507","","1.0","7ebb91c7-3540-49b7-a963-b14c325705fe"
"525","Bowles, Paul","The Sheltering Sky","9780141023427","isbn:9780141023427,goodreads:243598,google:2UuQPwAACAAJ,amazon:B005AJWU7C","","1.0","a03253b5-a1c0-4177-a6ca-f356cd7060e5"
"526","Norman, Don","The Design of Everyday Things: Revised and Expanded Edition","9780465072996","amazon:B00E257T6C,isbn:9780465072996,goodreads:23216254,google:nVQPAAAAQBAJ","","1.0","207454fd-b4a2-4380-9443-51063f1219a7"
"527","Kotler, Steven & Wheal, Jamie","Stealing Fire: How Silicon Valley, the Navy SEALs, and Maverick Scientists Are Revolutionizing the Way We Live and Work","9781470856076","goodreads:30317415,google:9cFBDAAAQBAJ,amazon:1470856077,isbn:9781470856076","","1.0","99c01abe-d470-4ecf-9aee-84c4073d4026"
"528","Dinesen, Isak & Blixen, Karen","Out of Africa","9780307799586","goodreads:12016758,isbn:9780307799586,amazon:0679600213,google:hQK67dQoPZIC","","1.0","bd3b08bc-228b-4574-8512-248f1b3c3c69"
"529","Guin, Ursula K. le","The Lathe of Heaven","0380435470","goodreads:59924,amazon:B00JTZ95I0,isbn:0380435470","","1.0","a7597c5e-36ee-4e25-b702-7136afa07a8f"
"530","Winslow, Don","Satori","9780446561914","mobi-asin:B0047Y176Q,google:QrjEgKsuXlIC,amazon:B00B9ZK6MC,isbn:9780446561914","","1.0","0346cd0b-4579-4aa6-93a6-189734d879cc"
"531","Stephenson, Neal","Some Remarks","9780062024435","google:2wTNygAACAAJ,isbn:9780062024435,goodreads:13406933,amazon:B00BJEMLJO,barnesnoble:w/some-remarks-neal-stephenson/1106580221","","1.0","744aaab5-2c8b-4842-b52f-d749bc41e834"
"532","Ballard, J. G.","High-Rise","9789048838301","isbn:9789048838301,goodreads:12331767,google:uPdZMQAACAAJ,amazon:B008CBD38K","","1.0","bb0d8640-bf0b-4734-9d9b-a0c09dc1f444"
"533","Asher, Neal","Gridlinked","9781429910392","isbn:9781429910392,amazon:0765349051,google:bcNZ5Dt_3s8C,goodreads:98046","Agent Cormac","1.0","e90a937f-a38e-480a-b69c-00293cce9b74"
"535","Newitz, Annalee","Autonomous","9780765392077","amazon:0765392070,mobi-asin:B01N4P14CI,goodreads:28209634,isbn:9780765392077","","1.0","a2ee6b89-cf85-4ee2-b898-4c068b6c4ab9"
"536","Older, Malka","Null States","9780765393388","mobi-asin:B01MZ1I8LO,goodreads:31189192,isbn:9780765393388","Centenal Cycle","2.0","937f0db2-84d1-4fa7-934a-b6b425aa20ed"
"537","American Alpine Club","Accidents in North American Climbing 2017","9781933056975","amazon:1933056975,isbn:9781933056975","Accidents in North American Mountaineering","70.0","a973c0c9-bdc2-42ea-9887-1f7c9e76f459"
"538","MacDonald, Dougald","American Alpine Journal 2017: The World's Most Significant Climbs","9781933056968","isbn:9781933056968,google:AC0inQAACAAJ,goodreads:34485765,amazon:1933056967","American Alpine Journal","91.0","95d0e87c-5b5a-4c78-9b8c-8d9901725bd5"
"541","Talbot, David","Season of the Witch: Enchantment, Terror and Deliverance in the City of Love","9781439127872","google:sW-0ApN9WYwC,amazon:1439108242,isbn:9781439127872,goodreads:12352452","","1.0","a90a0ed2-973f-4561-9085-10b0d98587e1"
"543","Herbert, Frank","Dune","9780441172719","amazon:B00B7NPRY8,isbn:9780441172719,goodreads:234225,barnesnoble:w/dune-frank-herbert/1100608835,google:-hmtDwAAQBAJ","Dune","1.0","aca347e3-cd4a-480c-b7fb-43767e6004be"
